Family	IDP_057	MPH_008	IDP_053
Clostridiales_environmentalsamples_329910	0	0	0
Clostridiales_unclassifiedPeptococcaceae_208050	0	0	0
Clostridiales_unclassifiedChristensenellaceae_1917874	0	0	0
Veillonellales_environmentalsamples_135094	0	0	0
Erysipelotrichales_environmentalsamples_134224	0	0	0
Coriobacteriales_environmentalsamples_331631	0	0	0
Eggerthellales_unclassifiedEggerthellaceae_1720314	0	0	0
Micrococcales_Micrococcaceae_1268	0	0.01	0
Micrococcales_Sanguibacteraceae_145360	0	0.00	0.00
Corynebacteriales_Corynebacteriaceae_1653	0	0.00	0.00
Propionibacteriales_Propionibacteriaceae_31957	0	0.00	0.00
Bacteroidales_environmentalsamples_224577	0	0	0
Bacteroidales_unclassifiedPrevotellaceae_224765	0	0	0
Bacteroidales_environmentalsamples_348577	0	0	0
Bacteroidales_unclassifiedPorphyromonadaceae_361210	0	0	0
Verrucomicrobiales_unclassifiedAkkermansiaceae_1951308	0	0	0
Enterobacterales_Yersiniaceae_1903411	0	0.00	0
Aeromonadales_environmentalsamples_538959	0	0	0
Xanthomonadales_Xanthomonadaceae_32033	0	0.00	0.01
Desulfovibrionales_unclassifiedDesulfovibrionaceae_231685	0	0	0
Selenomonadales_unclassified-Selenomonadaceae_1953020	0	0	0.00
Sphingobacteriales_Sphingobacteriaceae_84566	0	0	0.00
Aeromonadales_Aeromonadaceae_84642	0	0	0.00
Burkholderiales_Comamonadaceae_80864	0	0	0.01
Burkholderiales_Alcaligenaceae_506	0	0	0.00
Caulobacterales_Caulobacteraceae_76892	0	0	0.01
Rhizobiales_Phyllobacteriaceae_69277	0	0	0.00
Sphingomonadales_Sphingomonadaceae_41297	0	0	0.00
